Female	Male	Female&&Male	Experimental_Series_II	Experimental_Series_III	Experimental_Series_IV	Experimental_Series_V	Grain_Yield[Mg/ha]	Type
apache	tri23467	apache&&tri23467	0	0	0	1	8.955087855	Hybrid
apache	tri23890	apache&&tri23890	0	0	0	1	8.780519331	Hybrid
apache	tri23924	apache&&tri23924	0	0	0	1	8.577139192	Hybrid
apache	tri24607iso	apache&&tri24607iso	0	0	0	1	8.644970569	Hybrid
apache	tri25141iso	apache&&tri25141iso	0	0	0	1	9.2840346	Hybrid
apache	tri29467	apache&&tri29467	0	0	0	1	8.212375003	Hybrid
apache	tri322iso	apache&&tri322iso	0	0	0	1	9.283121837	Hybrid
apache	tri6386iso	apache&&tri6386iso	0	0	0	1	8.91429663	Hybrid
apache	tri64iso	apache&&tri64iso	0	0	0	1	9.389789604	Hybrid
apache	tri6761iso	apache&&tri6761iso	0	0	0	1	8.903512553	Hybrid
apache	tri6903iso	apache&&tri6903iso	0	0	0	1	8.714480461	Hybrid
apache	tri6926	apache&&tri6926	0	0	0	1	7.463083403	Hybrid
apache	tri7018	apache&&tri7018	0	0	0	1	7.897598963	Hybrid
apache	tri7169iso	apache&&tri7169iso	0	0	0	1	9.163957125	Hybrid
apache	tri7372iso	apache&&tri7372iso	0	0	0	1	9.127939146	Hybrid
apache	tri7707	apache&&tri7707	0	0	0	1	8.333354713	Hybrid
apache	tri7861	apache&&tri7861	0	0	0	1	7.4939035	Hybrid
apache	tri7874	apache&&tri7874	0	0	0	1	8.600340195	Hybrid
apache	tri7963iso	apache&&tri7963iso	0	0	0	1	8.733108867	Hybrid
apache	tri8070	apache&&tri8070	0	0	0	1	8.291727179	Hybrid
apache	tri8084iso	apache&&tri8084iso	0	0	0	1	8.890485247	Hybrid
apache	tri8453iso	apache&&tri8453iso	0	0	0	1	8.882233068	Hybrid
apache	tri9361	apache&&tri9361	0	0	0	1	8.480070105	Hybrid
apache	tri9368	apache&&tri9368	0	0	0	1	8.407609368	Hybrid
apache	tri9377	apache&&tri9377	0	0	0	1	8.455270245	Hybrid
apache	tri9409	apache&&tri9409	0	0	0	1	8.218389505	Hybrid
apache	tri9413	apache&&tri9413	0	0	0	1	8.872188506	Hybrid
apache	tri9519iso	apache&&tri9519iso	0	0	0	1	8.778750357	Hybrid
apache	tri9523iso	apache&&tri9523iso	0	0	0	1	9.010744939	Hybrid
apache	tri9798	apache&&tri9798	0	0	0	1	7.967650667	Hybrid
apache	tri9843iso	apache&&tri9843iso	0	0	0	1	8.625020593	Hybrid
apian	apian	apian	0	0	0	1	9.383155297	Line
apian	tri5082	apian&&tri5082	0	0	0	1	9.546916159	Hybrid
arezzo	albatros	arezzo&&albatros	0	0	0	1	8.536863198	Hybrid
arezzo	arezzo	arezzo	0	0	0	1	9.087728379	Line
arezzo	sur99820sur186	arezzo&&sur99820sur186	0	0	0	1	9.856737986	Hybrid
arezzo	tri10054	arezzo&&tri10054	0	0	0	1	9.501734729	Hybrid
arezzo	tri10124	arezzo&&tri10124	0	0	0	1	8.89343767	Hybrid
